ccg,group,postcode,practice_name,address,list_size,brick,
 Richmond ,GP SURGERY,TW1 4EA,ACORN GROUP PRACTICE,29-35 HOLLY ROAD,8300,TW01,442088910073
 Richmond ,GP SURGERY,TW1 3PA,THE YORK MEDICAL PRACTICE,ST JOHN'S HEALTH CENTRE,11500,TW01,442087440220
 Bristol ,GP SURGERY,BS3 5AS,THE WEDMORE PRACTICE,ST. JOHNS LANE,7200,BS03,441179536666
 Islington ,GP SURGERY,N19 3RN,ST JOHNS WAY MEDICAL CENTRE,96 ST. JOHN'S WAY,12100,NZ19,442072721585
 Kernow ,GP PRACTICE DISPENSING,TR19 7HX,CAPE CORNWALL SURGERY,MARKET STREET,4800,TR26,441736788306
 Kernow ,GP PRACTICE DISPENSING,TR12 6PB,DRS MOLSEN & PARTNERS,ST KEVERNE HEALTH CENTRE,2893,TR13,441326280205
 Portsmouth ,HOSPITAL,PO3 6AD,ST MARY'S COMMUNITY HEALTH CAMPUS (ACUTE,MILTON ROAD,0,PO03,442392680000
 Central London ,HOSPITAL,W2 1NY,ST MARY'S HOSPITAL (ACUTE),PRAED STREET,0,WZ02,442033126666
 Bristol ,PRIVATE HOSPITAL,BS8 1JU,NUFFIELD HEALTH BRISTOL HOSPITAL,ST MARY'S,0,BS08,441179872727
 Southampton ,GP SURGERY,SO14 1LT,ST MARY'S SURGERY,1 JOHNSON STREET,24000,SO14,442380333778
 Cambs and Peterborough ,GP PRACTICE DISPENSING,PE28 3EG,DR LIU,6A CHURCH STREET,2390,PE28,441487208044
 South Lincolnshire ,GP PRACTICE DISPENSING,PE9 2DH,DR FITT & PARTNERS,ST MARYS MEDICAL CENTRE,13500,PE09,441780764121
 Bath and NE Somerset ,GP PRACTICE DISPENSING,BA2 0HX,ST MARY'S SURGERY,ST. MARYS CLOSE,5150,BA02,441761470880
 Bath and NE Somerset ,GP SURGERY,BA2 1ER,DR PROFFITT & PARTNERS,ST MICHAEL'S SURGERY,7300,BA02,441225428277
 Islington ,GP SURGERY,N1 1SW,ISLINGTON CENTRAL MEDICAL CENTRE,28 LAYCOCK STREET,16600,NZ01,442073590445
 North West Surrey ,HOSPITAL,KT16 0PZ,ST. PETERS HOSPITAL (ACUTE),GUILDFORD ROAD,0,KT16,441932872000
 Southampton ,GP SURGERY,SO19 9RL,ST PETERS SURGERY,49-55 PORTSMOUTH ROAD,5150,SO19,442380434355
 North East West Devon,GP SURGERY,EX4 1HJ,ST THOMAS MEDICAL GROUP,ST THOMAS HEALTH CENTRE,34500,EX04,441392676678
 Southwark ,HOSPITAL,SE1 7EH,ST THOMAS' HOSPITAL (ACUTE/COMMUNITY),249 WESTMINSTER BRIDGE ROAD,0,SE01,442071887188
 North West Surrey ,GP SURGERY,TW18 1XD,KNOWLE GREEN MEDICAL,STAINES HEALTH CENTRE,7300,TW18,441784883654
 North Norfolk ,GP PRACTICE DISPENSING,NR12 9BU,STAITHE SURGERY,LOWER STAITHE ROAD,7500,NR12,441692582000
 North East West Devon,GP SURGERY,PL19 9FD,DR EGGLETON & PARTNERS,TAVYSIDE HEALTH CENTRE,8800,PL19,441822613517
 Milton Keynes ,GP SURGERY,MK14 6BL,DR IYAMABO & PARTNER,PURBECK HEALTH CENTRE,6913,MK09,441908318989
 Swindon ,GP PRACTICE DISPENSING,SN4 0PB,CORNERSTONE PRACTICE,STATION HOUSE SURGERY,1601,SN04,441793740033
 Ipswich East Suffolk ,MINISTRY OF DEFENCE,IP7 7RA,WATTISHAM AIRFIELD,MEDICAL CENTRE,0,IP07,441449728276
 North East West Devon,MINISTRY OF DEFENCE,EX31 4AZ,ROYAL MARINE BASE CHIVENOR,MEDICAL CENTRE,0,EX31,441271857177
 Wiltshire ,MINISTRY OF DEFENCE,SN14 6BT,BUCKLEY BARRACKS MEDICAL CENTRE,HULLAVINGTON BARRACKS,0,SN14,441666508906
 Ipswich East Suffolk ,MINISTRY OF DEFENCE,IP31 1EE,RAF HONINGTON,STATION MEDICAL CENTRE,0,IP14,441359269561
 Cambs and Peterborough ,MINISTRY OF DEFENCE,PE8 6HB,RAF WITTERING,STATION MEDICAL CENTRE,0,PE07,441780783838
 Cambs and Peterborough ,MINISTRY OF DEFENCE,PE28 2EA,RAF WYTON,STATION MEDICAL CENTRE,1000,PE28,44148052451
 Oxfordshire ,MINISTRY OF DEFENCE,OX25 1PP,ST GEORGES BARRACKS,MEDICAL RECEPTION STATION,0,OX05,441869257747
 Somerset ,MINISTRY OF DEFENCE,TA2 6PF,40 COMMANDO ROYAL MARINES - TAUNTON,MEDICAL & DENTAL CENTRE,0,TA02,441823362216
 North East Essex ,MINISTRY OF DEFENCE,CO2 7UT,HQ APHCS EASTERN REGION,"MEDICAL RECEPTION STATION,DO1, MELVILLE",3500,CO05,441206815656
 Hammersmith and Fulham ,GP SURGERY,W14 0HX,STERNDALE SURGERY,74A STERNDALE ROAD,5000,WZ14,442076023797
 Coastal West Sussex ,GP SURGERY,BN44 3RJ,DR NOREN & PARTNERS,STEYNING HEALTH CENTRE,11167,BN44,441903843400
 East and N Herts ,GP SURGERY,EN7 6HL,STOCKWELL LODGE MEDICAL CENTRE,ROSEDALE WAY,13500,EN07,441992624408
 Bristol ,GP SURGERY,BS14 8PT,STOCKWOOD MEDICAL CENTRE,HOLLWAY ROAD,9200,BS14,441275833103
 Aylesbury Vale ,HOSPITAL,HP21 8AL,STOKE MANDEVILLE HOSPITAL,MANDEVILLE ROAD,0,HP21,441296315000
 West Hampshire ,GP SURGERY,SO50 8AU,STOKEWOOD SURGERY,FAIR OAK ROAD,17150,SO50,442380692000
 Medway ,GP SURGERY,ME5 0AA,STONECROSS & WEST DRIVE SURGERY,STONECROSS SURGERY,7700,ME05,441634842334
 Milton Keynes ,GP SURGERY,MK11 1YA,THE STONEDEAN PRACTICE,THE HEALTH CENTRE,7000,MK11,441908261155
 Gloucestershire ,GP SURGERY,GL10 2NG,STONEHOUSE HEALTH CLINIC,25 HIGH STREET,2700,GL02,441453823144
 West Suffolk ,GP SURGERY,CB9 8AG,HAVERHILL FAMILY PRACTICE,CROWN PASSAGE,15000,CB09,441440761177
 Ipswich East Suffolk ,GP PRACTICE DISPENSING,IP14 1NL,STOW HEALTH SURGERY,VIOLET HILL HOUSE,18000,IP14,441449776000
 Gloucestershire ,GP SURGERY,GL5 4BH,STROUD VALLEYS FAMILY PRACTICE,STROUD HEALTH CENTRE,4100,GL05,441453764696
 Gloucestershire ,GP SURGERY,GL5 4BH,DR SWINDELL & PARTNERS,BEECHES GREEN HEALTH CENTRE,8500,GL05,441453763980
 Gloucestershire ,GP SURGERY,GL5 3BE,ROWCROFT MEDICAL CENTRE,ROWCROFT RETREAT,11000,GL05,441453764471
 Southampton ,GP SURGERY,SO17 1BJ,DR WILSON & PARTNERS,"BUILDING 48, UNIVERSITY OF SOUTHAMPTON",14000,SO17,442380557531
 West London K&C and Qpp ,GP SURGERY,SW7 1LY,IMPERIAL COLLEGE HEALTH CENTRE,40 PRINCES GARDENS,15000,SW07,442075846301
 Bristol ,GP SURGERY,BS6 6AU,UNIVERSITY OF BRISTOL STUDENTS HEALTH SE,HAMPTON HOUSE,17500,BS06,441173302720
 Corby ,GP SURGERY,NN17 1QP,DR SUMIRA,1 STUDFALL COURT,2000,NN17,441536401371
 Bromley ,GP SURGERY,BR6 7AR,SUMMERCROFT SURGERY,1 STARTS HILL ROAD,11300,BR06,441689861098
 Somerset ,GP PRACTICE DISPENSING,TA19 9FE,SUMMERVALE SURGERY,ILMINSTER MEDICAL CENTRE,7500,TA19,44146052354
 North West Surrey ,GP SURGERY,TW16 6RH,SUNBURY HEALTH CENTRE GROUP PRACTICE,GREEN STREET,18500,TW16,441932713399
 Kernow ,GP SURGERY,TR18 4LT,SUNNYSIDE SURGERY,HAWKINS ROAD,6352,TR18,441736363340
 Herts Valleys ,GP SURGERY,WD17 1LS,SUTHERGREY HOUSE MEDICAL CENTRE,37A ST. JOHNS ROAD,12500,WD17,441923224424
 Dorset ,GP SURGERY,BH19 1HB,SWANAGE MEDICAL PRACTICE,RAILWAY STATION APPROACH,11700,BH19,441929422231
 Lewisham ,GP SURGERY,SE26 4TG,SYDENHAM GREEN GROUP PRACTICE,SYDENHAM GREEN HEALTH CENTRE,14450,SE26,442030492820
 Dorset ,GP SURGERY,BH10 4BX,TALBOT MEDICAL CENTRE,63 KINSON ROAD,19500,BH10,441202636400
 Somerset ,HOSPITAL,TA1 5DA,MUSGROVE PARK HOSPITAL (ACUTE),TAUNTON,0,TA01,441823333444
 Oxfordshire ,GP SURGERY,OX4 2HL,DR WILSON & PARTNERS,TEMPLE COWLEY HEALTH CENTRE,9100,OX04,441865777024
 Barnet ,GP SURGERY,NW11 7TE,TEMPLE FORTUNE HEALTH CENTRE - GROUP PRA,23 TEMPLE FORTUNE LANE,3000,NW11,442082092401
 Bath and NE Somerset ,GP SURGERY,BS31 1AF,TEMPLE HOUSE PRACTICE,ST. CLEMENTS ROAD,6300,BS31,441179862406
 Mid Essex ,GP SURGERY,CM1 4HW,TENNYSON HOUSE SURGERY,20 MERLIN PLACE,8879,CM01,441245260459
 West Hampshire ,GP SURGERY,SO40 3PY,TESTVALE SURGERY,12 SALISBURY ROAD,12977,SO40,442380866999
 Wiltshire ,GP SURGERY,SP1 3SL,DR ROSA,AVON APPROACH,6000,SP01,441722322726
 Oxfordshire ,GP SURGERY,OX9 3JZ,THE RYCOTE PRACTICE,THAME HEALTH CENTRE,11400,OX09,441844261066
 Central London ,GP SURGERY,NW8 0AG,DR SIDDIQI & PARTNERS,THE ABBEY MEDICAL CENTRE,10000,NW08,442076042455
 Oxfordshire ,GP SURGERY,OX14 3LB,DR BUTTAR & PARTNERS,THE ABINGDON SURGERY,13380,OX14,441235523126
 Oxfordshire ,PRIVATE HOSPITAL,OX3 7RP,NUFFIELD HEALTH MANOR HOSPITAL OXFORD,BEECH ROAD,0,OX03,441865307777
 West Hampshire ,GP SURGERY,SP10 1HA,THE ADELAIDE MEDICAL CENTRE,36 ADELAIDE ROAD,9123,SP10,441264351144
 Bexley ,GP SURGERY,DA6 7LP,THE ALBION SURGERY,PINCOTT ROAD,13800,DA06,442083048334
 Southampton ,GP SURGERY,SO16 5ST,ALDERMOOR SURGERY,ALDERMOOR CLOSE,4000,SO16,442380241000
 Medway ,PRIVATE HOSPITAL,ME5 9PG,SPIRE ALEXANDRA HOSPITAL,IMPTON LANE,0,ME05,441634687166
 East and N Herts ,GP SURGERY,SG7 6BP,BALDOCK SURGERY,ASTONIA HOUSE,12938,SG06,441462892458
 Oxfordshire ,GP SURGERY,OX49 5AF,DR NEALE & PARTNERS,THE CHILTERN SURGERY,7500,OX09,441491612444
 Bath and NE Somerset ,PRIVATE HOSPITAL,BA2 7BR,BMI BATH CLINIC,CLAVERTON DOWN ROAD,0,BA02,441225835555
 Hounslow ,GP SURGERY,W4 5LH,DR KEEN,55 SOUTH PARADE,3800,WZ04,442089940298
 North East Hants Farnham,GP SURGERY,GU10 3RB,FARNHAM DENE MEDICAL PRACTICE,LODGE HILL ROAD,11500,GU09,441252730100
 Brighton and Hove ,GP SURGERY,BN2 5FL,BROADWAY SURGERY,WELLSBOURNE HEALTH CENTRE,2256,BN02,441273600888
 Horsham and Mid Sussex ,GP SURGERY,RH15 9BS,BROW MEDICAL CENTRE,THE BROW,6700,RH15,441444246123
 Newbury and District ,GP SURGERY,RG19 4YF,BURDWOOD SURGERY,WHEELERS GREEN WAY,10000,RG18,441635868006
 Mid Essex ,GP SURGERY,CM0 8SJ,THE BURNHAM SURGERY,FOUNDRY LANE,9600,CM03,441621782054
 Camden ,GP SURGERY,NW5 2UP,THE CAVERSHAM GROUP PRACTICE,4 PECKWATER STREET,14500,NW05,442074285700
 Dartford Gravesswanley ,GP SURGERY,BR8 7AH,THE CEDARS SURGERY,26-28 SWANLEY CENTRE,10500,BR08,441322663111
 Coastal West Sussex ,GP SURGERY,BN12 6DN,STRAND MEDICAL GROUP,2-6 THE STRAND,13800,BN12,441903243351
 Thanet ,GP SURGERY,CT7 9HQ,BIRCHINGTON MEDICAL CENTRE,MINNIS ROAD,10000,CT07,441843848818
 Oxfordshire ,GP PRACTICE DISPENSING,OX7 3PQ,DR BAYLISS & PARTNERS,CHARLBURY MEDICAL CENTRE,5150,OX07,441608811680
 Chiltern ,PRIVATE HOSPITAL,HP16 0EN,BMI THE CHILTERN HOSPITAL,LONDON ROAD,0,HP16,
 Gloucestershire ,GP PRACTICE DISPENSING,GL12 7BD,DR KABLER & PARTNERS,THE CHIPPING SURGERY,8400,GL06,441453842214
 Cambs and Peterborough ,GP PRACTICE DISPENSING,PE13 3AN,CLARKSON SURGERY,DE-HAVILLAND ROAD,11850,PE13,441945583133
 Harrow ,PRIVATE HOSPITAL,HA1 3RX,BMI CLEMENTINE CHURCHILL HOSPITAL,SUDBURY HILL,0,HA01,442088723872
 South Devon and Torbay ,GP SURGERY,TQ6 9RT,DARTMOUTH MEDICAL PRACTICE,35 VICTORIA ROAD,9000,TQ09,441803832212
 Barnet ,GP SURGERY,N20 0DH,OAKLEIGH ROAD CLINIC,280 OAKLEIGH ROAD NORTH,8500,NZ20,442083613638
 Surrey Downs ,GP SURGERY,KT18 5NU,DR BARR & PARTNERS,TATTENHAM HEALTH CENTRE,6000,KT17,441737371011
 Lincolnshire East ,HOSPITAL,LN11 0EU,COUNTY HOSPITAL LOUTH (ACUTE),HIGH HOLME ROAD,0,LN11,441507600100
 Isle Of Wight ,GP SURGERY,PO31 7ER,COWES MEDICAL CENTRE,200 NEWPORT ROAD,15000,PO31,441983295251
 West London K&C and Qpp ,PRIVATE HOSPITAL,SW5 0TU,BUPA CROMWELL HOSPITAL,164-178 CROMWELL ROAD,0,SW05,442074602000
 Central London ,GSK MANAGED ACCOUNT OTHER,W1G 9RT,THE DOCTORS LABORATORY,76 WIMPOLE STREET,0,WZ01,442074604800
 Dorset ,GP SURGERY,DT4 7BY,THE ROYAL CRESCENT & PRESTON ROAD PRACTI,ROYAL CRESCENT SURGERY,18000,DT04,441305774466
 Ealing ,HOSPITAL,UB1 3HW,EALING HOSPITAL (ACUTE/COMMUNITY),UXBRIDGE ROAD,0,UB01,442089675000
 Medway ,GP PRACTICE DISPENSING,ME3 9AE,THE ELMS MEDICAL PRACTICE,HOO,9000,ME03,441634250142
 Herts Valleys ,GP SURGERY,WD3 5EA,CHORLEYWOOD HEALTH CENTRE,15 LOWER ROAD,6014,WD03,441923287100
 Herts Valleys ,GP SURGERY,AL5 4QA,THE ELMS MEDICAL PRACTICE,5 STEWART ROAD,14000,AL05,441582767444
 Cambs and Peterborough ,PRIVATE HOSPITAL,CB2 8AF,NUFFIELD HEALTH CAMBRIDGE HOSPITAL,4 TRUMPINGTON ROAD,0,CB02,441223303336
 Barnet ,PRIVATE HOSPITAL,NW4 1RP,BMI HENDON HOSPITAL,46-50 SUNNY GARDENS ROAD,0,NW04,442084574500
 Somerset ,GP SURGERY,BA6 9LP,DR STRAWFORD & PARTNERS,THE GLASTONBURY SURGERY,13000,BA06,441458833666
 Bristol ,PRIVATE HOSPITAL,BS6 6UT,SPIRE BRISTOL HOSPITAL,THE GLEN,0,BS06,441179804000
 West Essex ,GP PRACTICE DISPENSING,CB10 1EJ,GOLD STREET SURGERY,GOLD STREET,10000,CM06,441799525325
 West Suffolk ,GP PRACTICE DISPENSING,IP33 1ET,DR JONES & PARTNERS,GUILDHALL SURGERY,11250,IP33,441284701601
 West Suffolk ,GP SURGERY,CO10 8NY,THE GUILDHALL SURGERY,HIGH STREET,5100,CO10,441787277523
 Central London ,PRIVATE HOSPITAL,W1G 8BJ,HARLEY STREET CLINIC,35 WEYMOUTH STREET,0,WZ01,442079357700
 Somerset ,GP SURGERY,BA9 9FQ,WINCANTON HEALTH CENTRE,DYKES WAY,8700,BA22,441963435700
 Dorset ,GP SURGERY,BH22 9HB,PENNY'S HILL PRACTICE,FERNDOWN MEDICAL CENTRE,8650,BH22,441202897200
 Horsham and Mid Sussex ,GP SURGERY,BN6 9UQ,MID SUSSEX HEALTH CARE,HURSTPIERPOINT HEALTH CENTRE,18920,BN06,441273834388
 High Weald Lewes Havens,GP SURGERY,BN8 4LR,MID DOWNS MEDICAL PRACTICE,THE HEALTH CENTRE,9200,BN07,441825722272
 South Gloucestershire ,GP SURGERY,BS15 4EJ,KINGSWOOD HEALTH CENTRE,ALMA ROAD,11000,BS15,441173012080
 North Somerset ,GP SURGERY,BS48 2XX,NAILSEA FAMILY PRACTICE,TOWER HOUSE MEDICAL CENTRE,11500,BS48,441275866700
 Cambs and Peterborough ,GP PRACTICE DISPENSING,CB6 1JU,ST GEORGES MEDICAL CENTRE,2A PARSONS LANE,10500,CB06,441353864100
 Basildon and Brentwood ,GP SURGERY,CM12 0BJ,BILLERICAY MEDICAL PRACTICE,BILLERICAY HEALTH CENTRE,12800,CM12,441277658071
 East Surrey ,GP SURGERY,CR3 6JU,CATERHAM VALLEY MEDICAL PRACTICE,EOTHEN HOUSE,9050,CR03,441883347811
 Canterbury and Coastal ,GP SURGERY,CT3 3BB,DR COLLYER & PARTNER,QUEENS ROAD,6200,CT02,441304840415
 Waltham Forest ,GP SURGERY,E4 9PD,HANDSWORTH MEDICAL PRACTICE,HANDSWORTH AVENUE,14000,EZ04,442030069216
 North East West Devon,GP SURGERY,EX12 2DU,SEATON & COLYTON MEDICAL PRACTICE,148 HAREPATH ROAD,7500,EX13,44129720877
 North East West Devon,GP PRACTICE DISPENSING,EX20 1AY,OKEHAMPTON MEDICAL CENTRE,EAST STREET,12746,EX20,44183752233
 North East West Devon,GP SURGERY,EX22 6GH,HOLSWORTHY DOCTORS SURGERY,THE MEDICAL CENTRE,10500,EX20,441409253692
 North East West Devon,GP SURGERY,EX36 3BZ,SOUTH MOLTON HEALTH CENTRE,9-10 EAST STREET,5500,EX32,441769573101
 South Devon and Torbay ,GP SURGERY,EX7 9QH,THE BARTON SURGERY,BARTON TERRACE,12000,TQ13,441626888877
 Gloucestershire ,GP PRACTICE DISPENSING,GL15 5PF,SEVERNBANK SURGERY,TUTNALLS STREET,4220,GL15,441594845715
 North East Hants Farnham,GP SURGERY,GU46 7LS,OAKLEY HEALTH GROUP,YATELEY MEDICAL CENTRE,22230,GU17,441252872333
 North West Surrey ,GP SURGERY,GU21 8TD,THE FAMILY PRACTICE,ST JOHNS HEALTH CENTRE,12200,GU21,441483227060
 Guildford and Waverley ,GP SURGERY,GU27 2BQ,HASLEMERE HEALTH CENTRE,CHURCH LANE,18056,GU27,441428748206
 Chiltern ,GP PRACTICE DISPENSING,HP14 3SX,STOKENCHURCH MEDICAL CENTRE,OXFORD ROAD,7000,HP12,441494256073
 Ipswich East Suffolk ,GP PRACTICE DISPENSING,IP7 7EX,BILDESTON HEALTH CENTRE,HIGH STREET,7000,IP07,441449740254
 Medway ,GP SURGERY,ME1 2EL,DR TANDON,DELCE ROAD,1800,ME01,441634334203
 Milton Keynes ,GP SURGERY,MK11 1YA,STONY MEDICAL CENTRE,THE HEALTH CENTRE,12750,MK11,441908260382
 Milton Keynes ,GP SURGERY,MK16 8QT,NEWPORT PAGNELL MEDICAL CENTRE,QUEENS AVENUE,19000,MK16,441908611767
 Aylesbury Vale ,GP PRACTICE DISPENSING,MK18 3DW,NORDEN HOUSE SURGERY,AVENUE ROAD,9500,MK18,441296713434
 Milton Keynes ,GP SURGERY,MK3 6EN,PARKSIDE MEDICAL CENTRE,WHALLEY DRIVE,13000,MK03,441908375341
 Bedfordshire ,GP SURGERY,MK40 4HR,QUEENS PARK SURGERY,23C CARLISLE ROAD,8000,MK40,441234351661
 Bedfordshire ,GP SURGERY,MK42 0NT,DR BINNS & PARTNERS,LONDON ROAD HEALTH CENTRE,15000,MK42,441234266851
 Barnet ,GP SURGERY,N12 9SS,TORRINGTON PARK GROUP PRACTICE,TORRINGTON PARK HEALTH CENTRE,11569,NZ12,442036675030
 City and Hackney ,GP SURGERY,N16 7EA,DR GADHVI & PARTNERS,FOUNTAYNE ROAD HEALTH CENTRE,5000,NZ16,442076834854
 Haringey ,GP SURGERY,N22 5NJ,DR DAVE & PARTNER,STUART CRESCENT HEALTH CENTRE,3000,NZ22,448443878893
 Nene ,GP SURGERY,NN9 5GA,SPINNEY BROOK MEDICAL CENTRE,59 HIGH STREET,10967,NN09,441933650593
 Great Yarmouth Waveney ,GP SURGERY,NR34 9NX,BECCLES MEDICAL CENTRE,ST. MARYS ROAD,20000,NR34,441502712662
 Oxfordshire ,GP SURGERY,OX11 7JH,DIDCOT HEALTH CENTRE,BRITWELL ROAD,17442,OX11,441235512288
 West Norfolk ,GP SURGERY,PE30 4DY,VIDA HEALTHCARE,GAYTON ROAD,37000,PE30,441553600075
 South Lincolnshire ,GP PRACTICE DISPENSING,PE6 8DD,DR RIGG & PARTNERS,MARKET DEEPING HEALTH CENTRE,22800,PE06,441778579000
 Kernow ,GP SURGERY,PL12 6DL,DR KNEEN & PARTNERS,SALTASH HEALTH CENTRE,13100,PL11,441752842281
 Kernow ,GP PRACTICE DISPENSING,PL27 7BS,DR SAITCH & PARTNERS,WADEBRIDGE AND CAMEL ESTUARY PRACTICE,8250,PL31,441208812222
 Coastal West Sussex ,GP SURGERY,PO21 1UT,BOGNOR MEDICAL PRACTICE,WEST STREET,9500,PO21,441243826541
 Newbury and District ,GP SURGERY,RG18 3HD,DR RUDGLEY & PARTNERS,THATCHAM MEDICAL PRACTICE,18600,RG18,441635867171
 Crawley ,GP PRACTICE DISPENSING,RH10 4HY,DR CLIFFORD & PARTNERS,CRAWLEY DOWN HEALTH CENTRE,8100,RH10,441342713031
 East Surrey ,GP SURGERY,RH8 0BQ,DR WILLIAMS & PARTNERS,OXTED HEALTH CENTRE,16800,RH08,441883734000
 Bedfordshire ,GP PRACTICE DISPENSING,SG19 1JQ,SANDY HEALTH CENTRE MEDICAL PRACTICE,NORTHCROFT,9147,SG18,441767682525
 West Hampshire ,GP SURGERY,SO41 0PG,MILFORD MEDICAL CENTRE,SEA ROAD,14634,SO41,441590643022
 Dorset ,GP SURGERY,SP7 8DH,BLACKMORE VALE PARTNERSHIP,SALISBURY ROAD,23000,SP08,441747856700
 Southend ,GP SURGERY,SS1 2AB,QUEENSWAY SURGERY,75 QUEENSWAY,23000,SS01,441702463333
 Richmond ,GP SURGERY,SW13 0LW,ESSEX HOUSE SURGERY,STATION ROAD,9500,SW13,442088761033
 Somerset ,GP SURGERY,TA4 3LH,QUANTOCK VALE SURGERY,MOUNT STREET,5550,TA02,441823432361
 Somerset ,GP PRACTICE DISPENSING,TA5 1NW,QUANTOCK MEDICAL CENTRE,BANNESON ROAD,3181,TA06,441278732696
 South Devon and Torbay ,GP SURGERY,TQ12 3HN,DR MILBURN & PARTNERS,KINGSTEIGNTON MEDICAL PRACTICE,10624,TQ12,441626357080
 North East West Devon,GP SURGERY,TQ7 1AE,NORTON BROOK MEDICAL CENTRE,COOKWORTHY ROAD,10155,TQ07,441548853551
 Kernow ,GP PRACTICE DISPENSING,TR13 8AU,DR DAVIES & PARTNERS,HELSTON MEDICAL CENTRE,13000,TR13,441326572637
 Windsor Ascot Maidenhead,GP SURGERY,TW20 0PF,RUNNYMEDE MEDICAL GROUP PRACTICE,BOND STREET,12500,TW20,441784437671
 Lincolnshire West ,GP SURGERY,LN1 1XP,PORTLAND MEDICAL PRACTICE,34 NEWLAND,9200,LN01,441522876800
 Lincolnshire West ,GP SURGERY,LN6 7SS,BOULTHAM PARK MEDICAL PRACTICE,BOULTHAM PARK ROAD,9400,LN06,441522874444
 Lincolnshire West ,GP SURGERY,LN6 8NH,CROSSROADS MEDICAL PRACTICE,LINCOLN ROAD,6932,LN06,441522682848
 Lincolnshire East ,GP PRACTICE DISPENSING,LN9 6AL,HORNCASTLE MEDICAL GROUP PRACTICE,THE OLD VICARAGE,9000,LN08,441507522477
 Bedfordshire ,GP SURGERY,LU6 3SU,PRIORY GARDENS SURGERY,THE HEALTH CENTRE,9000,LU06,441582699622
 South Devon and Torbay ,GP SURGERY,TQ13 9QP,THE BOVEY TRACEY & CHUDLEIGH PRACTICE,RIVERSIDE SURGERY,14500,TQ13,441626832666
 South Devon and Torbay ,GP SURGERY,TQ13 8BW,CHAGFORD HEALTH CENTRE,CHAGFORD,3003,TQ13,441647433320
 South Eastern Hants ,GP SURGERY,GU32 3AB,THE SWAN SURGERY,SWAN STREET,13900,PO08,441730264011
 East and N Herts ,GP SURGERY,EN11 8EP,THE LIMES SURGERY,8-14 LIMES COURT,10273,EN11,441992464533
 Herts Valleys ,GP SURGERY,AL3 7BL,DR BAGUANT & PARTNERS,THE HEALTH CENTRE,11000,AL03,441582792356
 Cambs and Peterborough ,GP SURGERY,CB23 8EH,THE MAPLE SURGERY,THE HEALTH CENTRE,3680,CB23,441954780442
 Wokingham ,GP PRACTICE DISPENSING,RG10 9JA,TWYFORD SURGERY,6 LODDON HALL ROAD,12500,RG10,441189346680
 South Devon and Torbay ,GP SURGERY,TQ13 8LW,MORETONHAMPSTEAD HEALTH CENTRE,EMBLEFORD CRESCENT,3025,TQ13,441647440591
 Wiltshire ,GP SURGERY,BA15 1DQ,THE BRADFORD ON AVON & MELKSHAM HEALTH P,THE HEALTH CENTRE,21000,BA14,441225866611
 East and N Herts ,GP SURGERY,SG11 1TF,STANDON & PUCKERIDGE SURGERY,THE SURGERY,8400,SG11,441920823860
 Kernow ,GP SURGERY,PL13 1HA,DR ROY & PARTNERS,OLD BRIDGE SURGERY,9800,PL13,441503266960
 Surrey Heath ,GP PRACTICE DISPENSING,GU12 5BA,FRIMLEY GREEN MEDICAL CENTRE,WHARF ROAD,27000,GU16,441252317551
 Cambs and Peterborough ,GP PRACTICE DISPENSING,CB21 4JS,DR WHEELER & PARTNERS,LINTON HEALTH CENTRE,11000,CB01,441223891456
 Cambs and Peterborough ,GP PRACTICE DISPENSING,CB7 4HF,ST MARY'S SURGERY,37 ST. MARYS STREET,16000,CB07,441353663434
 Ipswich East Suffolk ,GP PRACTICE DISPENSING,IP13 0SB,WICKHAM MARKET MEDICAL CENTRE,CHAPEL LANE,9500,IP12,441728747101
 Ipswich East Suffolk ,GP PRACTICE DISPENSING,IP14 5SQ,MENDLESHAM MEDICAL GROUP,MENDLESHAM HEALTH CENTRE,7500,IP14,441449767722
 West Suffolk ,GP SURGERY,IP30 9QU,DR PEARSON & PARTNERS,THE WOOLPIT HEALTH CENTRE,14000,IP33,441359240298
 Lincolnshire West ,GP PRACTICE DISPENSING,LN2 2RS,NETTLEHAM MEDICAL PRACTICE,14 LODGE LANE,11500,LN02,441522751717
 Lincolnshire West ,GP PRACTICE DISPENSING,LN2 3JH,WELTON SURGERY,4 CLIFF ROAD,9347,LN02,441673862232
 Lincolnshire East ,GP PRACTICE DISPENSING,LN7 6NX,DR BACKHOUSE & PARTNER,CAISTOR HEALTH CENTRE,5550,LN08,441472851203
 North Norfolk ,GP PRACTICE DISPENSING,NR13 3RA,THE ACLE MEDICAL PARTNERSHIP,THE ACLE MEDICAL SURGERY,9100,NR12,448444773992
 South Norfolk ,GP PRACTICE DISPENSING,NR15 2UY,LONG STRATTON MEDICAL PARTNERSHIP,SWAN LANE SURGERY,12000,NR17,441508530781
 Oxfordshire ,GP PRACTICE DISPENSING,OX15 0TQ,DR RUDDOCK & PARTNERS,DEDDINGTON HEALTH CENTRE,9500,OX16,441869338611
 Cambs and Peterborough ,GP SURGERY,PE1 2UF,PARK MEDICAL CENTRE,164 PARK ROAD,8500,PE01,441733552801
 South Lincolnshire ,GP PRACTICE DISPENSING,PE12 9HB,DR BOOTH & PARTNERS,THE LONG SUTTON MEDICAL CENTRE,15600,PE12,441406362081
